	texto	texto_modificado
268	"no asociar lo particular a calidad en la educación."""	asociar particular calidad educación
269	"137	-ya que el endeudamiento de la clase media es mucho y mas encima despues los castigan cuando salen de sus - sin poder optar a beneficios sociales."	ya endeudamiento clase medio encima después castigar salir  optar beneficio social
270	"138	-que sea más rapido  terminen    las listas de espera, no que sea gratis, pero si agilizar"	que rapido terminar lista espera  gratis  si agilizar
271	"139	lo único que queremos es que se mejoren los servicios públicos, porque ningún médico quiere trabajar ahí."	único querer mejorar servicio público  ninguno médico querer trabajar ahí
272	"140	- tener una vejez digna                 - trabajar después de los 70 por placer y no deber                            - dineros mal administrados"	vejez digno  trabajar después  placer  dinero mal administrado
273	"141	el tema más crítico. preocupación porque ante la muerte de una persona no se recupera el dinero."	tema crítico  preocupación muerte persona recuperar dinero
274	"142	""el endeudamiento para la educación de los hijos."	endeudamiento educación hijo
275	igualdad de condiciones.	igualdad condición
276	"muy cara y poco accesible."""	cara accesible
277	"143	""-seguridad interior del estado."	seguridad interior estado
278	-cambios en el código penal.	cambio código penal
279	-tener jueces más justos y no politizados.	tener juez justo politizado
280	"-mejorar la preparación de carabineros."""	mejorar preparación carabinero
281	"144	""-Porque no se respeta la igualdad de salud personal (GES -AUGE) para adultos mayores y discapacitados."	porque respetar igualdad salud personal  ges auge  adulto mayor discapacitado
282	"-Atención publica gratuita."""	atención publica gratuito
283	"145	""en especifico la sección 22 a."	especifico sección
284	"ley de inclusión solo ofrece el 1% del trabajo para las personas."""	ley inclusión sólo ofrecer   trabajo persona
285	"146	""pensiones muy bajas que no permiten cubrir las necesidades básicas."	pensión baja permitir cubrir necesidad básico
286	"el fondo de pensiones no debería soportar las perdidas de las afp"""	fondo pensión soportar perdida afp
287	"147	""-los adultos mayores tiene pensiones indignas"	lo adulto mayor pensión indigno
288	"-la gente gasta mucho en medicamentos y las pensiones no alcanzan"""	la gente gastar medicamento pensión alcanzar
289	"148	el hospital no cuenta con todos los implementos , es por esto que muchas veces somos derivados a un hospital en una ciudad más grande y que cuente con todos los implementos necesarios, se debe mejorar la implementación de los hospitales ya existentes."	hospital contar implemento  vez derivado hospital ciudad grande contar implemento necesario  mejorar implementación hospital existente
290	"149	""-educación tradicional está obsoleta para nuevas necesidades"	educación tradicional obsoleto nuevo necesidad
291	"-existe sobrecarga académica (muchos ramos y horas en colegio)"""	existir sobrecarga académico  ramo hora colegio
292	"150	""- el río aconcagua tiene una crisis hídrica histórica en el peor de los escenarios."	río aconcaguo crisis hídrico histórico peor escenario
293	"- hay una gestión que no se está realizando, los agricultores son los culpables, el estado quien regula la situación del agua"""	gestión realizar  agricultor culpable  estado regular situación agua
294	"151	- listas de espera                           - mejorar pensiones de invalidez                                                      - enfermedades no están en el auge                                        - atención integral para el cáncer (psicológica, kinesiólogos)"	lista espera  mejorar pensión invalidez  enfermedad auge  atención integral cáncer  psicológico  kinesiólogo
295	"152	""-especialistas en hospitales"	especialista hospital
296	-camas en hospitales	cama hospital
297	-que las horas sean más rápidas	que hora rápido
298	-mejor atención en adultos mayores	mejor atención adulto mayor
299	"-que hayan más recursos en las corporaciones"""	que recurso corporación
300	"153	""deberia ser un aporte al socio de la afp."	aporte socio afp
301	las personas lo deben aumentar.	persona aumentar
302	los intereses de sus ingresos.	interés ingreso
303	"debe unirse mas intitucion para ---- de las afp."""	unir intitución  afp
304	"154	""-""""mas de dos años esperando hora medica de operación"""""	dos año esperar hora medico operación
305	"-""""cinco años esperando para operarse varices"""""	cinco año esperar operar variz
306	"-""""- más de 3 años esperando"""""	año esperar
307	"-""""la posta atiende solo a 20 pacientes y al resto no lo atendieron"""""	posta atender sólo  paciente resto atendir
308	-tanto que se demora en atender los medicos	tanto demorar atender medico
309	-eso molesta y duele	eso molestar doler
310	"-lega a las 7 de la mañana y est"""	lega  mañana est
311	"155	""-se refieren a que la educación debe mejorar para todos los sectores económicos, debe ser de calidad."	yse referir educación mejorar sector económico  calidad
312	"-porque hoy la educación es un derecho, pero no garantiza calidad."""	porque hoy educación derecho  garantizar calidad
313	"156	según las experiencias los participantes que hacen uso del sistema de salud público, existe un consenso en cuanto a la agilidad y buen servicio de la atención primaria, sin embargo, no es posible decir lo mismo respecto de aquellas enfermedades de mayor complejidad, ya que el sistema no logra cubrir"	según experiencia participante uso sistema salud público  existir consenso cuanto agilidad buen servicio atención primario  embargo  posible decir mismo respecto aquel enfermedad mayor complejidad  sistema lograr cubrir
314	"157	es primordial mejorar el sistema de salud, ya que las personas muchas veces ven pasar el tiempo sin horas ni atenciones, llegando incluso a morir esperando"	primordial mejorar sistema salud  persona vez ver pasar tiempo hora atención  llegar incluso morir esperar
315	"158	""financiera. no hay profesor que enseñe realidad aprender haciendo habilidades blandas."	financiero  profesor enseñer realidad aprender habilidad blando
316	·las proximas generaciones van a obtener los beneficios, con educación todo mejora.	proximo generación obtener beneficio  educación mejorar
317	·los profesores no son valorados, deficit.	elo profesor valorar  deficit
318	"·trascendental para superar el subdesarrollo"""	·trascendental superar subdesarrollo
319	"159	""- mejores sueldos, siendo el mínimo de 500 mil pesos en relación al costo de la vida."	mejor sueldo  mínimo  mil peso relación costo vida
320	"- fiscalización del lucro y actuar del sistema."""	fiscalización lucro actuar sistema
321	"160	se debe tener claro que es un problema que abarca a todos los trabajadores siendo un tema transversal, ya que no todos han tenido las mismas posibilidades."	claro problema abarcar trabajador tema transversal  mismo posibilidad
322	"161	la region de aysén se encuentra encuentra en menos mal respecto de conectividad terrestre y digital."	región aysén encontrar encontrar menos mal respecto conectividad terrestre digital
323	"162	""Por el tiempo de atención de especialistas o procedimientos."	tiempo atención especialista procedimiento
324	No hay medicamentos suficientes	medicamento suficiente
325	"Mejorar el trato de atención. """	mejorar trato atención
326	"163	""-en general los adultos mayores tienen pensiones bajas, que no les permite cubrir las necesidades basicas"	en general adulto mayor pensión baja  permitir cubrir necesidad basico
327	"-hay diferencias entre las pensiones de los civiles y las ff.aa."""	haer diferencia pensión civil ffaa
328	"164	el estado y los privados deben generar más fuentes laborales, sueldos dignos y más protección para los trabajadores."	estado privado generar fuente laboral  sueldo digno protección trabajador
329	"165	que sean más equitativas, sueldos regionalizados, porque en esta región la vida es más cara. cada región tiene necesidades distintas."	equitativo  sueldo regionalizado  región vida cara  cada región necesidad distinto
330	"166	hay poca educación alimenticia, agilizar la atención en el sector público, mejorar condiciones laborales de profesionales de la salud para que mejore su servicio."	educación alimenticia  agilizar atención sector público  mejorar condición laboral profesional salud mejorar servicio
331	"167	""- entrega oportuna y directa a los pacientes o enfermos"	entrega oportuno directo paciente enfermo
332	- mayo mano de especialistas	mayo mano especialista
333	"- mas acceso a examenes y medicamentos"""	acceso examen medicamento
334	"168	que los políticos de una vez por todas hagan caso a las remandas y no sé."	político vez caso remanda saber
335	"169	- se necesita una atención digna, acceso a remedios, que haya atención uy horas medicas, que seamos atendidos y no haya discriminación"	necesitar atención digno  acceso remedio  atención uyo hora medico  atender discriminación
336	"170	se debe volver a que la autoridad sepa que decisiones tomar. que haya orden en carabineros y el gobierno del interior tome medidas de seguridad publica."	volver autoridad saber decisión tomar  orden carabinero gobierno interior tomar medida seguridad publica
337	"171	""las listas de espera."	lista espera
338	mala atención profesionales.	malo atención profesional
339	tiempos de espera largos.	tiempo espera largo
